Jurisdicción;CUE Anexo;Nombre;Sector;Ámbito;Domicilio;CP;Código de área;Teléfono;Código localidad;Localidad;Departamento;Mail;Ed. Común;Ed. Especial;Ed. Adultos;Ed. Artística;Ed. Hospitalaria Domiciliaria;Ed. Intercultural Bilingüe;Jardín maternal;Inicial;Primaria;Secundaria;Secundaria Técnica (INET);Superior no Universitario;Servicios complementarios
Buenos Aires;60000100;JARDÍN DE INFANTES Nº915 JAVIER VILLAFAÑE;Estatal;Urbano;TIRO FEDERAL 712  ;7300;02281;426487;6049005;AZUL;AZUL;jardin905azul@gmail.com; ji007915@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60588800;JARDÍN DE INFANTES CEFERINO NAMUNCURA;Privado;Urbano;SANTA CRUZ E/ CASTEL Y RODRIGO 1445  VILLA LEON;1714;011;4621-0691;6410002;ITUZAINGO;ITUZAINGO;browndeituzaingo@hotmail.com; dji1363159@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60588900;ESCUELA DE EDUCACIÓN PRIMARIA Nº10 ALAS ARGENTINAS;Estatal;Urbano;LAHITTE Y ESPACIO VERDE S/N  ;1714;011;4621-1013;6410002;ITUZAINGO;ITUZAINGO;egb10ituz@abc.gov.ar; pp136010@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60589000;ESCUELA DE EDUCACIÓN PRIMARIA Nº19 CLOTILDE GUILLEN DE REZZANO;Estatal;Urbano;PATAGONIA E/ TEL AVIV Y PORTUGAL 2648  BARRIO SAN ALBERTO;1714;011;4481-0175;6410002;ITUZAINGO;ITUZAINGO;pp136019@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60589100;JARDÍN MUNICIPAL Nº15 MIS MANZANITAS;Estatal;Urbano;LISANDRO DE LA TORRE 4166  ;1714;011;4621-8950;6410002;ITUZAINGO;ITUZAINGO;mismanzanita@hotmail.com; mji1362774@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60589200;JARDÍN DE INFANTES EL CASTILLITO ENCANTADO;Privado;Urbano;CASTELLI E/ MITRE Y 9 DE JULIO 375  ;2804;03489;42-1662;6126005;CAMPANA;CAMPANA;elcastillitoencantado@yahoo.com.ar; elcastillitoencantado@yahoo.com.ar; dji0152324@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60589400;COLEGIO SANTO TOMAS DE AQUINO;Privado;Urbano;MATHEU 975  ;2804;03489;43-7013/130;6126005;CAMPANA;CAMPANA;cstasecundaria@gmail.com;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso
Buenos Aires;60589500;JARDÍN DE INFANTES Nº915 EVE SAN MARTÍN DE DUPRAT;Estatal;Urbano;ROJAS E/ S.MARIA DE ORO Y DORREGO 1422  ;2804;03489;42-7368;6126005;CAMPANA;CAMPANA;jardin915campana@gmail.com; oji0150915@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60589600;COLEGIO SANTO TOMAS DE AQUINO;Privado;Urbano;MATHEU E/ ALBERTI Y PERON 975  ;2804;03489;43-7013;6126005;CAMPANA;CAMPANA;epbsantotomas@gmail.com; dpp0152499@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60589700;CENTRO EDUCATIVO DE NIVEL SECUNDARIO Nº452;Estatal;Urbano;BERUTTI 75  ;2804;03489;43-8443;6126005;CAMPANA;CAMPANA;odm0150452@abc.gov.ar;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60589800;JARDÍN DE INFANTES Nº901 MANUEL BELGRANO;Estatal;Urbano;MARTIN GÜEMES ESQ. BERUTTI 1085  ;2804;03489;42-2886;6126005;CAMPANA;CAMPANA;jardin901campana@gmail.com; ji015901@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60589900;CENTRO EDUCATIVO DE NIVEL SECUNDARIO Nº451 JORGE GERMÁN CALVO;Estatal;Urbano;arenales 787  ;2804;03489;471797(partic.);6126005;CAMPANA;CAMPANA;mariacens@gmail.com; odm0150451@abc.gov.ar;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60590000;ESCUELA DE EDUCACIÓN PRIMARIA Nº21 ING. AGR. ELOY M. UNAMUNO;Estatal;Urbano;PERITO MORENO 1241  BARRIO SAN FELIPE;2804;03489;43-7508;6126005;CAMPANA;CAMPANA;epb21campana@hotmail.com; opp0150021@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60590100;COLEGIO ARMONIA;Privado;Urbano;VICENTE LOPEZ 730  ;2804;03489;447354;6126005;CAMPANA;CAMPANA;nivelprimario@colegioarmonia.edu.ar; dpp0155791@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60590200;JARDÍN DE INFANTES MARTINCITO;Privado;Urbano;SARMIENTO 920  ;2804;03489;43-0758;6126005;CAMPANA;CAMPANA;martincito_07@hotmail.com; dji0151381@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60590300;ESCUELA DE ADULTOS Nº702 BERNARDINO RIVADAVIA;Estatal;Urbano;SIVORI Y RIVADAVIA 750  ;2804;03489;43-9243;6126005;CAMPANA;CAMPANA;de015702@abc.gov.ar;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60590301;CENTRO DE ADULTOS Nº705/02;Estatal;Urbano;necochea S/N  BARRIO LUBO;2804;03489;43-9243;6126005;CAMPANA;CAMPANA;odc0150705@abc.gov.ar;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60590302;CENTRO DE ADULTOS Nº706/02;Estatal;Urbano;DEL PINO Y ARENALES S/N  BARRIO DEL PINO;2804;03489;43-9243;6126005;CAMPANA;CAMPANA;odc0150706@abc.gov.ar;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60590303;CENTRO DE ADULTOS Nº707/02;Estatal;Urbano;BIDEGAIN Y ZARATE S/N  BARRIO SAN CAYETANO;2804;03489;43-9243;6126005;CAMPANA;CAMPANA;odc0150707@abc.gov.ar;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60590400;COLEGIO PADRE ANIBAL MARIO DI FRANCIA;Privado;Urbano;LAS HERAS Y PUEYRREDoN 965  ;2804;03489;42-8259;6126005;CAMPANA;CAMPANA;primaria@colegiorogacionista.edu.ar; dpp0153139@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60590500;JARDÍN DE INFANTES Nº912 RITA LATALLADA;Estatal;Urbano;URQUIZA E/ NECOCHEA Y MATHEU 274  ;2804;03489;43-1457;6126005;CAMPANA;CAMPANA;jardin912campana@gmail.com; ji015912@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60590600;ESCUELA DE ARTE Nº1;Estatal;Urbano;ARENALES Y BERTOLINI   ;2804;03489;43-8901;6126005;CAMPANA;CAMPANA;escueladeartedecampana@gmail.com; oaa0150001@abc.gov.ar;Verdadero;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso
Buenos Aires;60590700;ESCUELA DE EDUCACIÓN PRIMARIA Nº27 MARIANO MORENO;Estatal;Urbano;SAAVEDRA 1512  BARRIO DALLERA;2804;03489;42-3378;6126005;CAMPANA;CAMPANA;epb27campana@hotmail.com; opp0150027@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60590800;JARDÍN DE INFANTES Nº906 SIRLEY SACCO;Estatal;Urbano;PASO E/ MAIPU Y GAVAZZI 1432  ;2804;03489;43-7652;6126005;CAMPANA;CAMPANA;jardin906campana@gmail.com; oji0150906@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60590900;ESCUELA DE EDUCACIÓN SECUNDARIA Nº2 NUESTRA SEÑORA DE FÁTIMA;Estatal;Urbano;7 de julio 826  ;2800;03487;44-8004;6882012;ZARATE;ZARATE;escuelamedia2zarate@gmail.com;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso
Buenos Aires;60590901;EXTENSION I DE ESCUELA DE EDUCACIÓN SECUNDARIA Nº2;Estatal;Urbano;GRAL PINTO 550  ;2800;03487;44-8157;6882012;ZARATE;ZARATE;escuelasecundariazarate@gmail.com;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso
Buenos Aires;60591000;ESCUELA DE EDUCACIÓN PRIMARIA Nº28 JUANA GONZALEZ DE SILVANO;Estatal;Urbano;ITUZAINGO ESQ. JOSE HERNANDEZ S/N  ;2800;03487;43-8516;6882012;ZARATE;ZARATE;primaria28zarate@gmail.com; opp0470028@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60591100;ESCUELA DE EDUCACIÓN PRIMARIA Nº31 GRAL. MARTÍN MIGUEL DE GÜEMES;Estatal;Rural;CAMINO A CENTRAL NUCLEAR ATUCHA S/N  CUARTEL V;2806;03487;48-1845;6882010;LIMA;ZARATE;egb31@s5.coopenet.com.ar; opp0470031@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60591200;ESCUELA DE ADULTOS Nº705 PATRICIAS ARGENTINAS;Estatal;Urbano;AVDA 11 E/6 Y 8 256  ;2804;03487;48-0029;6882010;LIMA;ZARATE;adultos705zarate@gmail.com; ode0470705@abc.gov.ar;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60591201;CENTRO DE ADULTOS Nº706/05;Estatal;Urbano;52 S/N  VILLA DEL PILAR;2804;nan;nan;6882010;LIMA;ZARATE;adultos705zarate@gmail.com; odc0470706@abc.gov.ar;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60591300;INSTITUTO SUP. F.D.Y T Nº15 PROF. BERTA LUISA MARQUEHOSSE;Estatal;Urbano;DELLLEPIANE Y VARELA 352  ;2804;03489;42-2931;6126005;CAMPANA;CAMPANA;isfdyt15@yahoo.com.ar; is015015@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso
Buenos Aires;60591400;ESCUELA ESPECIAL Nº503 IRMA ALTHABE DE GUELVENZU;Estatal;Urbano;8 E/ 9 Y 11 309  ;2806;03487;48-0682;6882010;LIMA;ZARATE;especial503zarate@gmail.com; oee0470503@abc.gov.ar;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60591500;JARDÍN DE INFANTES Nº901 GENDARMERIA NACIONAL;Estatal;Urbano;9 Y 10 416  ;2806;03487;48-0004;6882010;LIMA;ZARATE;jardin901zarate@gmail.com; oji0470901@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60591600;ESCUELA DE EDUCACIÓN PRIMARIA Nº1 CAPITAN HIPOLITO BOUCHARD;Estatal;Urbano;MITRE E/ SAN MARTIN Y RAWSON 857  ;2804;03489;42-8932;6126005;CAMPANA;CAMPANA;epb1campana@hotmail.com; opp0150001@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60591700;ESCUELA DE EDUCACIÓN PRIMARIA Nº10 RONALD J. NASH;Estatal;Urbano;ZAVALIA 1657  BO LA JOSEFA;2804;03489;44-1697;6126005;CAMPANA;CAMPANA;epb10campana@hotmail.com; opp0150010@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60591800;ESCUELA DE EDUCACIÓN PRIMARIA Nº12 TENIENTE BENJAMIN MATIENZO;Estatal;Urbano;JUAN NARDO 425  OTAMENDI;2804;03489;43-6942;6126005;CAMPANA;CAMPANA;epb12campana@hotmail.com; opp0150012@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60591900;ESCUELA MUNICIPAL Nº4 JOSÉ COELHO DE MEYRELLES;Estatal;Urbano;ALEJANDRO KORN 2279  ;7600;0223;480-9049;6357020;MAR DEL PLATA;GENERAL PUEYRREDON;sndelrio@hotmail.com; mpp0430840@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60592000;JARDÍN MUNICIPAL Nº31;Estatal;Urbano;SICILIA Y RONDEAU S/N  ;7600;0223;489-2983;6357020;MAR DEL PLATA;GENERAL PUEYRREDON;jardinmun31@mardelplata.gov.ar; mji0433645@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60592100;ESCUELA DE EDUCACIÓN PRIMARIA Nº64 ARMADA NACIONAL;Estatal;Urbano;GARCIA LORCA E/ 98 Y 100 4950  BARRIO CERRITO SUR;7600;0223;489-2610;6357020;MAR DEL PLATA;GENERAL PUEYRREDON;pp043064@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60592200;ESCUELA DE EDUCACIÓN PRIMARIA Nº35 PERITO FRANCISCO MORENO;Estatal;Urbano;BENITO LYNCH ESQ. RAFAEL DEL RIEGO 5702  BARRIO SAN MARTIN;7600;0223;483-0161;6357020;MAR DEL PLATA;GENERAL PUEYRREDON;toseana@hotmail.com; pp043035@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60592400;JARDÍN DE INFANTES Nº922;Estatal;Urbano;CUBA E/ FORTUNATO DE LA PLAZA Y CARASA 1911  ;7600;0223;483-0176;6357020;MAR DEL PLATA;GENERAL PUEYRREDON;ji043922@abc.gov.ar; ji043922@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60592500;ESCUELA DE EDUCACIÓN SECUNDARIA Nº19;Estatal;Urbano;REPUBLICA DE CUBA 1849  ;7600;0223;482-2220;6357020;MAR DEL PLATA;GENERAL PUEYRREDON;nan;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso
Buenos Aires;60592600;JARDÍN DE INFANTES Nº914;Estatal;Urbano;AVENIDA MARTINEZ DE HOZ E/ 4 Y 6 4100  PUNTA MOGOTES;7600;0223;485-0021;6357020;MAR DEL PLATA;GENERAL PUEYRREDON;ji914quinquelamartin@gmail.com; ji043914@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60592700;ESCUELA DE EDUCACIÓN PRIMARIA Nº35 RICARDO GÜIRALDES;Estatal;Urbano;G. PINTOS Y PRINGLES S/N  EL COLIBRI;1663;011;4465-5182;6760005;SAN MIGUEL;SAN MIGUEL;pp131035@abc.gov.ar; pp131035@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60592800;ESCUELA ATAHUALPA YUPANQUI;Privado;Urbano;EL ZONDA 3287  BARRIO SARMIENTO;1663;011;4455-7711;6760005;SAN MIGUEL;SAN MIGUEL;esatahualpa@hotmail.com; dpp1313060@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60592900;ESCUELA DE EDUCACIÓN PRIMARIA Nº21 CEFERINO NAMUNCURA;Estatal;Urbano;ISABEL LA CATOLICA 3715  SANTA BRIGIDA;1663;02320;46-3911;6760005;SAN MIGUEL;SAN MIGUEL;pp131021@abc.gov.ar; pp131021@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60593300;ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº2;Estatal;Urbano;SAN LUIS 1445  ;7600;0223;496-4151;6357020;MAR DEL PLATA;GENERAL PUEYRREDON;mt043002@abc.gov.ar; mt043002@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso
Buenos Aires;60593400;ESCUELA DE EDUCACIÓN SECUNDARIA AGRARIA Nº1;Estatal;Urbano;AVENIDA DEL MOLINO 2495  ;7540;02926;42-2091;6203004;CORONEL SUAREZ;CORONEL SUAREZ;eacoronelsuarez@yahoo.com.ar; ma025001@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso
Buenos Aires;60593500;ESCUELA ESPECIAL Nº501 MARIA MONTESSORI;Estatal;Urbano;MORENO Y PALENZONA S/N  ;7540;02926;42-1889;6203004;CORONEL SUAREZ;CORONEL SUAREZ;ee025501@abc.gov.ar; escuelaespecial501@yahoo.com.ar; ee025501@abc.gov.ar;Falso;Verdadero;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60593600;JARDÍN DE INFANTES Nº908 SARA CH. DE ECLESTON;Estatal;Urbano;URQUIZA E/ BELGRANO Y MITRE 138  ;7540;02926;42-2945;6203004;CORONEL SUAREZ;CORONEL SUAREZ;ji025908@abc.gov.ar; ji025908@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60593700;JARDÍN DE INFANTES Nº912 NUESTRA SEÑORA DE FATIMA;Estatal;Urbano;ECHEVERRIA 649  ;7540;02926;43-1723;6203004;CORONEL SUAREZ;CORONEL SUAREZ;ji912suarez@yahoo.com.ar; oji0250912@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60593800;ESCUELA DE EDUCACIÓN PRIMARIA Nº2 BARTOLOME MITRE;Estatal;Urbano;CONTURBI ESQ. BROWN 576  ;7540;02926;42-1964;6203004;CORONEL SUAREZ;CORONEL SUAREZ;escuela2bm@hotmail.com; egb2cmelsuarez@hotmail.com; pp025002@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60593900;ESCUELA DE EDUCACIÓN PRIMARIA Nº9 MANUEL BELGRANO;Estatal;Urbano;BELGRANO 1687  ;7540;02926;42-3261;6203004;CORONEL SUAREZ;CORONEL SUAREZ;ep9suarez@gmail.com; pp025009@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60594000;ESCUELA DE EDUCACIÓN PRIMARIA Nº11 NUESTRA SEÑORA DEL CARMEN;Estatal;Urbano;VIRGEN DE FATIMA 876  ;7540;02926;43-1714;6203004;CORONEL SUAREZ;CORONEL SUAREZ;fatima8763@yahoo.com.ar; pp025011@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60594100;INSTITUTO SUPERIOR DE FORMACION DOCENTE Nº25;Estatal;Urbano;ALSINA 28  ;8504;02920;46-2335;6602004;CARMEN DE PATAGONES;PATAGONES;is078025@abc.gov.ar; is078025@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso
Buenos Aires;60594101;ANEXO I DEL INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Nº25 DE PATAGONES;Estatal;Rural;KILOMETRO 794 DE LA RUTA NACIONAL Nº 3   ;nan;02920;46-2335;6875017;HILARIO ASCASUBI;VILLARINO;is078025@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso
Buenos Aires;60594200;JARDÍN DE INFANTES Nº901 MARCELINA RIAL DE ALVAREZ;Estatal;Urbano;BARBIERI (E/BYNON Y VILLEGAS) 20  ;8504;02920;46-1069;6602004;CARMEN DE PATAGONES;PATAGONES;jardin901patagones@gmail.com; ji078901@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60594300;JARDÍN DE INFANTES Nº904 COMANDANTE LUIS PIEDRABUENA;Estatal;Urbano;BELGRANO (ESQ. GARIBALDI) 213  ;8504;02920;46-4853;6602004;CARMEN DE PATAGONES;PATAGONES;ji078904@abc.gov.ar; ji078904@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60594400;ESCUELA DE EDUCACIÓN SECUNDARIA Nº3 7 DE MARZO;Estatal;Urbano;BUENOS AIRES 787  ;8504;02920;46-4839;6602004;CARMEN DE PATAGONES;PATAGONES;escumedia203@yahoo.com.ar; mm078003@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso
Buenos Aires;60594500;ESCUELA DE EDUCACIÓN PRIMARIA Nº6 JUAN BAUTISTA ALBERDI;Estatal;Urbano;URUGUAY 1002  ;2930;03329;42-6390;6770034;SAN PEDRO;SAN PEDRO;epn6jalberdi@gmail.com; pp098006@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60594600;CENTRO EDUCATIVO DE NIVEL SECUNDARIO Nº452;Estatal;Urbano;URUGUAY (E/3 DE FEBRERO Y OBLIGADO) 950  ;2930;03329;42-8950;6770034;SAN PEDRO;SAN PEDRO;eem202@ciudad.com.ar; secundaria3sanpero@gmail.com; omm0980002@abc.gov.ar;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60594700;ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº1 JUAN BAUTISTA AZOPARDO;Estatal;Urbano;URUGUAY Y 3 DE FEBRERO 1002  ;2930;03329;42-4046;6770034;SAN PEDRO;SAN PEDRO;eetn1sanpedro@redsp.com.ar; mt098001@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso
Buenos Aires;60594800;ESCUELA DE EDUCACIÓN PRIMARIA Nº3 ARZOBISPO JOSÉ MARIA BOTTARO;Estatal;Urbano;BALCARCE Y LAS PROVINCIAS S/N  ;2930;03329;42-1460;6770034;SAN PEDRO;SAN PEDRO;ep3sanpedro@gmail.com; opp0980003@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60594900;ESCUELA DE EDUCACIÓN PRIMARIA Nº11 JUAN JOSÉ CASTELLI;Estatal;Urbano;FRAY CAYETANO RODRIGUEZ 1402  ;2930;03329;42-9388;6770034;SAN PEDRO;SAN PEDRO;ep11j.j.castelli@gmail.com; pp098011@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60595000;ESCUELA DE EDUCACIÓN SECUNDARIA Nº3;Estatal;Urbano;ARZOBISPO BOTTARO 995  ;2930;03329;42-8950;6770034;SAN PEDRO;SAN PEDRO;secundaria3sanpedro@gmail.com;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso
Buenos Aires;60595100;ESCUELA DE EDUCACIÓN PRIMARIA Nº46 FRAY CAYETANO JOSÉ ROFRIGUEZ;Estatal;Urbano;ARZOBISPO BOTTARO 995  ;2930;03429;42-8896;6770034;SAN PEDRO;SAN PEDRO;primaria46sanpedro@gmail.com; pp098046@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60595200;INSTITUTO SUPERIOR DE FORMACIÓN Y TÉCNICA Nº118;Estatal;Urbano;ARZOBISPO BOTTARO 995  ;2930;03329;42-8950;6770034;SAN PEDRO;SAN PEDRO;isft118@gmail.com; is098118@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso
Buenos Aires;60595300;ESCUELA ESPECIAL Nº501 HENA YANZON;Estatal;Urbano;REINALDO ANSALONI 845  ;2930;03329;42-9185;6770034;SAN PEDRO;SAN PEDRO;escuela501@redsp.com.ar; escuelaquinientosuno@gmail.com; ee098501@abc.gov.ar;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60595400;JARDÍN DE INFANTES Nº914;Estatal;Urbano;ARZOBISPO BOTTARO 995  ;2930;03329;42-7689;6770034;SAN PEDRO;SAN PEDRO;escuelanormaljardin@yahoo.com.ar; ji098914@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60595500;ESCUELA DE EDUCACIÓN SECUNDARIA Nº1 DOMINGO CATALINO;Estatal;Urbano;WASHINGTON E/ARENALES Y SOLER 72  ;7130;02241;42-4448;6218003;CHASCOMUS;CHASCOMUS;ees_n1@yahoo.com.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso
